change,lnchg,chgcat,oed,wkd,month,dow,mv_IX,mv_f1,mv_f2,mv_Sec1,mv_Sec2,mv_snp,ln_mv_IX,ln_mv_f1,ln_mv_f2,ln_mv_Sec1,ln_mv_Sec2,ln_mv_snp,ln_ln_mv_IX,ln_ln_mv_f1,ln_ln_mv_f2,ln_ln_mv_Sec1,ln_ln_mv_Sec2,ln_ln_mv_snp,IX,f1,f2,Sec1,Sec2,Hi,Lo,snp,ln_IX,ln_f1,ln_f2,ln_Sec1,ln_Sec2,ln_Hi,ln_Lo,ln_snp,ln_ln_IX,ln_ln_f1,ln_ln_f2,ln_ln_Sec1,ln_ln_Sec2,ln_ln_Hi,ln_ln_Lo,ln_ln_snp,1-IX,1-f1,1-f2,1-Sec1,1-Sec2,1-Hi,1-Lo,1-snp,1-ln_IX,1-ln_f1,1-ln_f2,1-ln_Sec1,1-ln_Sec2,1-ln_Hi,1-ln_Lo,1-ln_snp,1-ln_ln_IX,1-ln_ln_f1,1-ln_ln_f2,1-ln_ln_Sec1,1-ln_ln_Sec2,1-ln_ln_Hi,1-ln_ln_Lo,1-ln_ln_snp,2-IX,2-f1,2-f2,2-Sec1,2-Sec2,2-Hi,2-Lo,2-snp,2-ln_IX,2-ln_f1,2-ln_f2,2-ln_Sec1,2-ln_Sec2,2-ln_Hi,2-ln_Lo,2-ln_snp,2-ln_ln_IX,2-ln_ln_f1,2-ln_ln_f2,2-ln_ln_Sec1,2-ln_ln_Sec2,2-ln_ln_Hi,2-ln_ln_Lo,2-ln_ln_snp,3-IX,3-f1,3-f2,3-Sec1,3-Sec2,3-Hi,3-Lo,3-snp,3-ln_IX,3-ln_f1,3-ln_f2,3-ln_Sec1,3-ln_Sec2,3-ln_Hi,3-ln_Lo,3-ln_snp,3-ln_ln_IX,3-ln_ln_f1,3-ln_ln_f2,3-ln_ln_Sec1,3-ln_ln_Sec2,3-ln_ln_Hi,3-ln_ln_Lo,3-ln_ln_snp,4-IX,4-f1,4-f2,4-Sec1,4-Sec2,4-Hi,4-Lo,4-snp,4-ln_IX,4-ln_f1,4-ln_f2,4-ln_Sec1,4-ln_Sec2,4-ln_Hi,4-ln_Lo,4-ln_snp,4-ln_ln_IX,4-ln_ln_f1,4-ln_ln_f2,4-ln_ln_Sec1,4-ln_ln_Sec2,4-ln_ln_Hi,4-ln_ln_Lo,4-ln_ln_snp,5-IX,5-f1,5-f2,5-Sec1,5-Sec2,5-Hi,5-Lo,5-snp,5-ln_IX,5-ln_f1,5-ln_f2,5-ln_Sec1,5-ln_Sec2,5-ln_Hi,5-ln_Lo,5-ln_snp,5-ln_ln_IX,5-ln_ln_f1,5-ln_ln_f2,5-ln_ln_Sec1,5-ln_ln_Sec2,5-ln_ln_Hi,5-ln_ln_Lo,5-ln_ln_snp
1.042909073,0.042013994,6,-5,96,10,3,15.02111111,14.71,14.97456189,104.8773864,2885548213,1191.641127,2.709456619,2.688527535,2.706352887,4.652791919,21.78298074,7.083086734,0.996748105,0.988993659,0.99560193,2.684630892,3.081128965,1.957709792,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851,14.53,14.54,14.92,103.6653432,2813858272,2945183148,2758012102,1196.540039,2.676215478,2.676903472,2.702702595,4.641167857,21.75782243,21.80343684,21.737776,7.08718937,0.984403661,0.984660706,0.994252233,2.683837277,3.079973345,3.082067611,3.079051577,1.95828884,14.74,14.66,15.14,104.5209031,2840478828,3133288668,2809196258,1199.380005,2.690564887,2.685122696,2.717340248,4.649387081,21.76723848,21.86534898,21.75616425,7.08956004,0.989751167,0.987726424,0.999653552,2.684398497,3.080406017,3.084903146,3.079897131,1.958623285,16.129999,15.11,15.37963624,107.7292528,2952857303,2990920604,2838503097,1179.589966,2.78068083,2.715356776,2.733044312,4.679621161,21.80603912,21.81884707,21.76654267,7.072922171,1.022695801,0.998923354,1.005416121,2.686460216,3.082186955,3.082774141,3.080374051,1.956273714,16.110001,15.17,15.44070693,108.1570327,2988018439,3022946164,2601976848,1177.800049,2.779440259,2.719319793,2.737007329,4.683584178,21.81787628,21.82949774,21.67953732,7.071403612,1.022249562,1.000381773,1.006865108,2.686730147,3.082729646,3.083262163,3.076368835,1.956058991,13.5,14.61,14.8707138,104.1644198,2901012365,3382495505,2862207806,1195.76001,2.602689685,2.681706226,2.699393762,4.64597061,21.7883256,21.94187959,21.77485912,7.086537254,0.956545405,0.986453243,0.993027215,2.684165254,3.081374304,3.088397121,3.080756053,1.958196823
0.988032659,-0.012039527,3,-6,97,10,4,15.02111111,14.71,14.97456189,104.8773864,2885548213,1191.641127,2.709456619,2.688527535,2.706352887,4.652791919,21.78298074,7.083086734,0.996748105,0.988993659,0.99560193,2.684630892,3.081128965,1.957709792,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851,14.53,14.54,14.92,103.6653432,2813858272,2945183148,2758012102,1196.540039,2.676215478,2.676903472,2.702702595,4.641167857,21.75782243,21.80343684,21.737776,7.08718937,0.984403661,0.984660706,0.994252233,2.683837277,3.079973345,3.082067611,3.079051577,1.95828884,14.74,14.66,15.14,104.5209031,2840478828,3133288668,2809196258,1199.380005,2.690564887,2.685122696,2.717340248,4.649387081,21.76723848,21.86534898,21.75616425,7.08956004,0.989751167,0.987726424,0.999653552,2.684398497,3.080406017,3.084903146,3.079897131,1.958623285,16.129999,15.11,15.37963624,107.7292528,2952857303,2990920604,2838503097,1179.589966,2.78068083,2.715356776,2.733044312,4.679621161,21.80603912,21.81884707,21.76654267,7.072922171,1.022695801,0.998923354,1.005416121,2.686460216,3.082186955,3.082774141,3.080374051,1.956273714,16.110001,15.17,15.44070693,108.1570327,2988018439,3022946164,2601976848,1177.800049,2.779440259,2.719319793,2.737007329,4.683584178,21.81787628,21.82949774,21.67953732,7.071403612,1.022249562,1.000381773,1.006865108,2.686730147,3.082729646,3.083262163,3.076368835,1.956058991
0.974002129,-0.02634179,2,-7,98,10,5,15.02111111,14.71,14.97456189,104.8773864,2885548213,1191.641127,2.709456619,2.688527535,2.706352887,4.652791919,21.78298074,7.083086734,0.996748105,0.988993659,0.99560193,2.684630892,3.081128965,1.957709792,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851,14.53,14.54,14.92,103.6653432,2813858272,2945183148,2758012102,1196.540039,2.676215478,2.676903472,2.702702595,4.641167857,21.75782243,21.80343684,21.737776,7.08718937,0.984403661,0.984660706,0.994252233,2.683837277,3.079973345,3.082067611,3.079051577,1.95828884,14.74,14.66,15.14,104.5209031,2840478828,3133288668,2809196258,1199.380005,2.690564887,2.685122696,2.717340248,4.649387081,21.76723848,21.86534898,21.75616425,7.08956004,0.989751167,0.987726424,0.999653552,2.684398497,3.080406017,3.084903146,3.079897131,1.958623285,16.129999,15.11,15.37963624,107.7292528,2952857303,2990920604,2838503097,1179.589966,2.78068083,2.715356776,2.733044312,4.679621161,21.80603912,21.81884707,21.76654267,7.072922171,1.022695801,0.998923354,1.005416121,2.686460216,3.082186955,3.082774141,3.080374051,1.956273714
0.982819946,-0.017329344,2,-8,99,10,1,15.02111111,14.71,14.97456189,104.8773864,2885548213,1191.641127,2.709456619,2.688527535,2.706352887,4.652791919,21.78298074,7.083086734,0.996748105,0.988993659,0.99560193,2.684630892,3.081128965,1.957709792,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851,14.53,14.54,14.92,103.6653432,2813858272,2945183148,2758012102,1196.540039,2.676215478,2.676903472,2.702702595,4.641167857,21.75782243,21.80343684,21.737776,7.08718937,0.984403661,0.984660706,0.994252233,2.683837277,3.079973345,3.082067611,3.079051577,1.95828884,14.74,14.66,15.14,104.5209031,2840478828,3133288668,2809196258,1199.380005,2.690564887,2.685122696,2.717340248,4.649387081,21.76723848,21.86534898,21.75616425,7.08956004,0.989751167,0.987726424,0.999653552,2.684398497,3.080406017,3.084903146,3.079897131,1.958623285
0.949575264,-0.051740485,1,-9,2,11,2,15.02111111,14.71,14.97456189,104.8773864,2885548213,1191.641127,2.709456619,2.688527535,2.706352887,4.652791919,21.78298074,7.083086734,0.996748105,0.988993659,0.99560193,2.684630892,3.081128965,1.957709792,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851,14.53,14.54,14.92,103.6653432,2813858272,2945183148,2758012102,1196.540039,2.676215478,2.676903472,2.702702595,4.641167857,21.75782243,21.80343684,21.737776,7.08718937,0.984403661,0.984660706,0.994252233,2.683837277,3.079973345,3.082067611,3.079051577,1.95828884
0.929342731,-0.073277683,1,10,3,11,3,15.004,14.669,14.9271057,104.5850701,2874591957,1192.753015,2.708316832,2.685736424,2.703178735,4.650000808,21.77917657,7.084019372,0.996327347,0.987954964,0.99442839,2.684440391,3.08095431,1.957841455,13.48,13.89,14.18,99.03106029,2636007308,2904580698,2624638250,1214.76001,2.601207105,2.631169157,2.651832521,4.595433541,21.69253123,21.78955488,21.68820891,7.102301814,0.955975609,0.967428294,0.975250918,2.680708709,3.076968018,3.081430721,3.076768745,1.960418931,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991,14.59,14.37,14.7,102.4533,2814268977,2941004847,2675158920,1191.380005,2.680336363,2.6651427,2.687847494,4.629407085,21.75796838,21.80201714,21.70727462,7.082867582,0.985942295,0.980257602,0.988740685,2.683033687,3.079980053,3.082002495,3.077647441,1.957678851
1.000106705,0.000106699,4,9,4,11,4,14.86545455,14.59818182,14.859187,104.0801601,2852902444,1194.753651,2.699040034,2.680896988,2.698618327,4.645161372,21.77160271,7.085695293,0.992896167,0.986151436,0.992739911,2.684109999,3.080606493,1.958078004,13,13.29,13.65,94.75326071,2449754232,2509000081,2384185778,1219.939941,2.564949357,2.587011873,2.613739522,4.551276257,21.61925354,21.64315014,21.59212351,7.106556908,0.941938735,0.950503493,0.960781963,2.677678705,3.073584285,3.074689013,3.072328596,1.961017866,13.48,13.89,14.18,99.03106029,2636007308,2904580698,2624638250,1214.76001,2.601207105,2.631169157,2.651832521,4.595433541,21.69253123,21.78955488,21.68820891,7.102301814,0.955975609,0.967428294,0.975250918,2.680708709,3.076968018,3.081430721,3.076768745,1.960418931,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159,16.02,14.95,14.94,106.5885062,2935026651,2971576943,2735853236,1178.900024,2.773837942,2.7047113,2.70404218,4.668975684,21.79998237,21.81235861,21.72970919,7.0723371,1.0202319,0.994995178,0.994747757,2.685734766,3.081909161,3.082476718,3.078680411,1.956190991
0.968976221,-0.031515207,2,8,5,11,5,14.71,14.48916667,14.75842141,103.3029185,2819306759,1196.852509,2.688527535,2.673401244,2.691813863,4.637665628,21.75975686,7.08745048,0.988993659,0.983351536,0.990215265,2.683598044,3.080062248,1.958325682,13.17,13.21,13.56,94.18288743,2450015633,2556346386,2375015592,1220.140015,2.577941516,2.580974119,2.607124283,4.545238503,21.61936024,21.66184488,21.58826984,7.106720898,0.946991218,0.948166893,0.958247806,2.677263689,3.073589221,3.075552413,3.072150104,1.961040942,13,13.29,13.65,94.75326071,2449754232,2509000081,2384185778,1219.939941,2.564949357,2.587011873,2.613739522,4.551276257,21.61925354,21.64315014,21.59212351,7.106556908,0.941938735,0.950503493,0.960781963,2.677678705,3.073584285,3.074689013,3.072328596,1.961017866,13.48,13.89,14.18,99.03106029,2636007308,2904580698,2624638250,1214.76001,2.601207105,2.631169157,2.651832521,4.595433541,21.69253123,21.78955488,21.68820891,7.102301814,0.955975609,0.967428294,0.975250918,2.680708709,3.076968018,3.081430721,3.076768745,1.960418931,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366,14.25,14.51,14.85,103.4514532,2899902185,3171656256,2878684805,1198.410034,2.656756907,2.674838067,2.697999865,4.639102451,21.78794284,21.87751977,21.78059936,7.088750986,0.977106171,0.983888843,0.992510708,2.683696199,3.081356736,3.085459615,3.081019636,1.958509159
1.008340432,0.008305842,5,7,6,11,1,14.59153846,14.39076923,14.66623515,102.6013776,2790899750,1198.643855,2.680441803,2.666586975,2.685547923,4.63085136,21.74962987,7.088946076,0.985981633,0.980799368,0.987884775,2.683132406,3.07959674,1.95853668,13.1,13.12,13.5,93.54121749,2374006889,2463360799,2319083506,1222.810059,2.57261223,2.574137784,2.602689685,4.538402168,21.58784503,21.62479243,21.5644379,7.108906816,0.944921815,0.945514637,0.956545405,2.676793574,3.072130426,3.073840454,3.071045565,1.961348479,13.17,13.21,13.56,94.18288743,2450015633,2556346386,2375015592,1220.140015,2.577941516,2.580974119,2.607124283,4.545238503,21.61936024,21.66184488,21.58826984,7.106720898,0.946991218,0.948166893,0.958247806,2.677263689,3.073589221,3.075552413,3.072150104,1.961040942,13,13.29,13.65,94.75326071,2449754232,2509000081,2384185778,1219.939941,2.564949357,2.587011873,2.613739522,4.551276257,21.61925354,21.64315014,21.59212351,7.106556908,0.941938735,0.950503493,0.960781963,2.677678705,3.073584285,3.074689013,3.072328596,1.961017866,13.48,13.89,14.18,99.03106029,2636007308,2904580698,2624638250,1214.76001,2.601207105,2.631169157,2.651832521,4.595433541,21.69253123,21.78955488,21.68820891,7.102301814,0.955975609,0.967428294,0.975250918,2.680708709,3.076968018,3.081430721,3.076768745,1.960418931,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151,15.32,14.47,14.53,103.1662666,2824510901,2835800359,2638270843,1207.01001,2.729159164,2.672077541,2.676215478,4.636341925,21.76160105,21.76559005,21.69338956,7.095901514,1.003993563,0.982856275,0.984403661,2.683507609,3.080146997,3.080330285,3.077007585,1.959517366
0.996538129,-0.003467877,4,6,7,11,2,14.485,14.3,14.58293264,101.9542233,2761121688,1200.370013,2.673113631,2.660259537,2.679851848,4.624523922,21.73890284,7.090385132,0.983243947,0.978423688,0.985761512,2.68269984,3.079103413,1.95873966,13.08,13.18,13.56,93.96899745,2393807131,2480311731,2342681449,1218.589966,2.571084346,2.578700529,2.607124283,4.542964914,21.59615088,21.63165009,21.57456203,7.105449704,0.944327734,0.947285601,0.958247806,2.677107366,3.072515099,3.074157524,3.071514937,1.960862054,13.1,13.12,13.5,93.54121749,2374006889,2463360799,2319083506,1222.810059,2.57261223,2.574137784,2.602689685,4.538402168,21.58784503,21.62479243,21.5644379,7.108906816,0.944921815,0.945514637,0.956545405,2.676793574,3.072130426,3.073840454,3.071045565,1.961348479,13.17,13.21,13.56,94.18288743,2450015633,2556346386,2375015592,1220.140015,2.577941516,2.580974119,2.607124283,4.545238503,21.61936024,21.66184488,21.58826984,7.106720898,0.946991218,0.948166893,0.958247806,2.677263689,3.073589221,3.075552413,3.072150104,1.961040942,13,13.29,13.65,94.75326071,2449754232,2509000081,2384185778,1219.939941,2.564949357,2.587011873,2.613739522,4.551276257,21.61925354,21.64315014,21.59212351,7.106556908,0.941938735,0.950503493,0.960781963,2.677678705,3.073584285,3.074689013,3.072328596,1.961017866,13.48,13.89,14.18,99.03106029,2636007308,2904580698,2624638250,1214.76001,2.601207105,2.631169157,2.651832521,4.595433541,21.69253123,21.78955488,21.68820891,7.102301814,0.955975609,0.967428294,0.975250918,2.680708709,3.076968018,3.081430721,3.076768745,1.960418931,14.85,14.3,14.5,101.9542233,2775985651,2914808990,2739342133,1202.76001,2.697999865,2.660259537,2.674148649,4.624523922,21.74427171,21.79307013,21.73098363,7.092374203,0.992510708,0.978423688,0.983631068,2.68269984,3.079350353,3.081592035,3.078739059,1.959020151
